"participant_ID","position","trial","phase","response","rt"
"P101","left",0,"inhale","correct",0.39435560000004
"P101","catch",1,"exhale","correct",NA
"P101","up",2,"inhale","correct",0.313161199999968
"P101","up",3,"exhale","correct",0.313852200000042
"P101","down",4,"inhale","correct",0.305098200000089
"P101","catch",5,"exhale","correct",NA
"P101","right",6,"inhale","correct",0.284763799999951
"P101","right",7,"exhale","correct",0.373525599999994
"P101","left",8,"inhale","correct",0.296555099999978
"P101","down",9,"exhale","correct",0.437315800000079
"P101","catch",10,"inhale","correct",NA
"P101","down",11,"exhale","correct",0.313004400000068
"P101","left",12,"inhale","correct",0.327859099999955
"P101","up",13,"exhale","correct",0.332142700000077
"P101","up",14,"inhale","correct",0.311497600000052
"P101","left",15,"exhale","correct",0.343342099999973
"P101","catch",16,"inhale","correct",NA
"P101","down",17,"exhale","correct",0.332478899999956
"P101","right",18,"inhale","correct",0.346871599999986
"P101","right",19,"exhale","correct",0.382117300000004
"P101","down",20,"inhale","correct",0.407916699999987
"P101","right",21,"exhale","correct",0.361442999999895
"P101","left",22,"inhale","correct",0.357112099999995
"P101","right",23,"exhale","correct",0.340539599999943
"P101","catch",24,"inhale","correct",NA
"P101","left",25,"exhale","correct",0.258117399999946
"P101","up",26,"inhale","correct",0.32236690000002
"P101","up",27,"exhale","correct",0.386167200000045
"P101","catch",28,"inhale","correct",NA
"P101","down",29,"exhale","correct",0.284703300000047
"P101","down",30,"inhale","correct",0.34857420000003
"P101","catch",31,"exhale","correct",NA
"P101","right",32,"exhale","correct",0.408280900000022
"P101","down",33,"inhale","correct",0.384332299999983
"P101","up",34,"exhale","correct",0.325494899999967
"P101","up",35,"inhale","correct",0.371633599999996
"P101","catch",36,"exhale","correct",NA
"P101","left",37,"inhale","correct",0.325228899999956
"P101","left",38,"exhale","correct",0.344536800000014
"P101","right",39,"inhale","correct",0.358861000000047
"P101","right",40,"exhale","correct",0.302650500000027
"P101","left",41,"inhale","correct",0.348773999999935
"P101","catch",42,"exhale","correct",NA
"P101","left",43,"inhale","correct",0.303547399999957
"P101","catch",44,"exhale","correct",NA
"P101","down",45,"inhale","correct",0.279741599999966
"P101","right",46,"exhale","correct",0.353297600000019
"P101","up",47,"inhale","correct",0.475141400000098
"P101","up",48,"exhale","correct",0.332259099999987
"P101","down",49,"inhale","correct",0.412394300000074
"P101","down",50,"exhale","correct",0.324755299999993
"P101","catch",51,"inhale","correct",NA
"P101","right",52,"exhale","correct",0.326662800000008
"P101","down",53,"inhale","correct",0.367184999999949
"P101","catch",54,"exhale","correct",NA
"P101","up",55,"inhale","correct",0.322315099999969
"P101","left",56,"exhale","correct",0.395747999999912
"P101","up",57,"inhale","correct",0.323004400000059
"P101","right",58,"exhale","correct",0.85665849999998
"P101","left",59,"exhale","correct",0.353568099999961
"P101","down",0,"exhale","correct",0.316657200000009
"P101","left",1,"inhale","correct",0.35224130000006
"P101","catch",2,"exhale","correct",NA
"P101","left",3,"exhale","correct",0.29643509999994
"P101","right",4,"inhale","correct",0.344835399999965
"P101","up",5,"exhale","correct",0.369432099999926
"P101","down",6,"inhale","correct",0.3793541
"P101","catch",7,"exhale","correct",NA
"P101","right",8,"inhale","correct",0.36777369999993
"P101","up",9,"exhale","correct",0.367786700000011
"P101","down",10,"inhale","correct",0.343570200000045
"P101","up",11,"exhale","correct",0.315639600000054
"P101","left",12,"inhale","correct",0.346003399999972
"P101","catch",13,"exhale","correct",NA
"P101","right",14,"inhale","correct",0.359775800000079
"P101","down",15,"exhale","correct",0.391198600000052
"P101","right",16,"inhale","correct",0.351445499999954
"P101","up",17,"exhale","correct",0.37409660000003
"P101","catch",18,"inhale","correct",NA
"P101","left",19,"inhale","correct",0.34817709999993
"P101","right",20,"exhale","correct",0.335028499999908
"P101","catch",21,"inhale","correct",NA
"P101","right",22,"exhale","correct",0.364551099999971
"P101","catch",23,"inhale","correct",NA
"P101","up",24,"exhale","correct",0.63104589999989
"P101","left",25,"inhale","correct",0.308065899999974
"P101","down",26,"exhale","correct",0.330285900000035
"P101","left",27,"inhale","correct",0.306282599999804
"P101","down",28,"exhale","correct",0.31855500000006
"P101","up",29,"inhale","correct",0.462236700000176
"P101","up",30,"exhale","correct",0.383119699999952
"P101","right",31,"inhale","correct",0.28041989999997
"P101","up",32,"exhale","correct",0.389510599999994
