"participant_ID","target_x","validity","trial","phase","response","rt"
"P102",10,"catch",0,"exhale","correct",NA
"P102",10,"catch",1,"exhale","correct",NA
"P102",0.31,"invalid",2,"exhale","correct",0.487929500013706
"P102",0.31,"invalid",3,"exhale","correct",0.467097699991427
"P102",-0.31,"valid",4,"exhale","correct",0.430382900012773
"P102",-0.31,"invalid",5,"exhale","correct",0.494899400000577
"P102",0.31,"valid",6,"exhale","correct",0.449472100008279
"P102",-0.31,"invalid",7,"exhale","correct",0.497396399994614
"P102",-0.31,"valid",8,"exhale","correct",0.444918400011375
"P102",-0.31,"invalid",9,"exhale","correct",0.556615800000145
"P102",0.31,"invalid",10,"exhale","correct",0.428104800012079
"P102",-0.31,"invalid",11,"exhale","correct",0.430612399999518
"P102",0.31,"valid",12,"exhale","correct",0.404311799997231
"P102",10,"catch",13,"exhale","correct",NA
"P102",-0.31,"invalid",14,"exhale","correct",0.45481799999834
"P102",-0.31,"valid",15,"exhale","correct",0.451064100008807
"P102",10,"catch",16,"exhale","correct",NA
"P102",10,"catch",17,"exhale","correct",NA
"P102",0.31,"invalid",18,"exhale","correct",0.48398210000596
"P102",10,"catch",19,"exhale","correct",NA
"P102",0.31,"invalid",20,"exhale","correct",0.470121800011839
"P102",-0.31,"valid",21,"exhale","correct",0.422027200009325
"P102",0.31,"valid",22,"exhale","correct",0.407400299998699
"P102",-0.31,"invalid",23,"exhale","correct",0.411498300003586
"P102",0.31,"valid",24,"exhale","correct",0.383584399998654
"P102",-0.31,"invalid",25,"exhale","correct",0.429893199994694
"P102",-0.31,"valid",26,"exhale","correct",0.410620400012704
"P102",0.31,"valid",27,"exhale","correct",0.455325100003392
"P102",10,"catch",28,"exhale","correct",NA
"P102",0.31,"valid",29,"exhale","correct",0.383149500004947
"P102",0.31,"valid",30,"exhale","correct",0.412681200003135
"P102",-0.31,"valid",31,"exhale","correct",0.420876400006819
"P102",0.31,"valid",32,"exhale","correct",0.552525699997204
"P102",-0.31,"invalid",33,"exhale","correct",0.402506300000823
"P102",10,"catch",34,"exhale","correct",NA
"P102",0.31,"valid",35,"exhale","correct",0.438153700000839
"P102",-0.31,"invalid",36,"exhale","correct",0.407687700004317
"P102",0.31,"invalid",37,"exhale","correct",0.497790800000075
"P102",0.31,"invalid",38,"exhale","correct",0.525596599996788
"P102",0.31,"valid",39,"exhale","correct",0.412644799987902
"P102",0.31,"invalid",40,"exhale","correct",0.444008500009659
"P102",10,"catch",41,"exhale","correct",NA
"P102",-0.31,"valid",42,"exhale","correct",0.458218300002045
"P102",10,"catch",43,"exhale","correct",NA
"P102",0.31,"invalid",44,"exhale","correct",0.421736400006921
"P102",0.31,"invalid",45,"exhale","correct",0.539390800011461
"P102",0.31,"valid",46,"exhale","correct",0.434580299988738
"P102",-0.31,"valid",47,"exhale","correct",0.400160400007735
"P102",-0.31,"invalid",48,"exhale","correct",0.472464099992067
"P102",10,"catch",49,"exhale","correct",NA
"P102",-0.31,"valid",50,"exhale","correct",0.373898399993777
"P102",-0.31,"valid",51,"exhale","correct",0.439246699999785
"P102",-0.31,"invalid",52,"exhale","correct",0.472440899990033
"P102",-0.31,"valid",53,"exhale","correct",0.355296599998837
"P102",10,"catch",54,"exhale","correct",NA
"P102",0.31,"invalid",55,"exhale","correct",0.616388199996436
"P102",-0.31,"valid",56,"exhale","correct",0.404987300003995
"P102",0.31,"valid",57,"exhale","correct",0.422079199997825
