target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,key_resp.stopped,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0076251000000411295,0.02763750000002574,0.02763750000002574,1572.0675241000001,up,1572.0156761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.0676313000001,1572.0778411,1575.0965236999998,1575.0674677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.31,0.005,0,0,0,up,1.3948278000002574,None,space,0.2843908999998348,None,0,0,0,1,,,,,,,,,1575.0965236999998,,,,,,,,,,,,,1575.0852281,1575.0965236999998,1575.0965236999998,1576.4998262000001,up,1.3948278000002574,None,1576.5001542000002,1576.5159984999998,1576.5159984999998,1576.5159984999998,1576.8153019,1576.8162771999998,space,0.2843908999998348,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,1,1,0,down,7.660306400000081,None,space,0.38281770000003235,None,0,1,1,7,,,,,,,,,1576.8320534000002,,,,,,,,,,,,,1576.8164803000002,1576.8320534000002,1576.8320534000002,1584.5082568999999,down,7.660306400000081,None,1584.5085517,1584.5241199,1584.5241199,1584.5241199,1584.8238862,1584.9081238,space,0.38281770000003235,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,2,2,0,up,4.399425500000234,None,space,0.30096039999989443,None,0,2,2,8,,,,,,,,,1584.9236834,,,,,,,,,,,,,1584.9083165,1584.9236834,1584.9236834,1589.3367931,up,4.399425500000234,None,1589.3370902,1589.3525253,1589.3525253,1589.3525253,1589.6521879999998,1589.669669,space,0.30096039999989443,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,3,3,0,down,6.878235399999994,None,space,0.2848951999999372,None,0,3,3,0,,,,,,,,,1589.6854824999998,,,,,,,,,,,,,1589.6698655000002,1589.6854824999998,1589.6854824999998,1596.5794147,down,6.878235399999994,None,1596.5797255999998,1596.5951037000002,1596.5951037000002,1596.5951037000002,1596.894736,1596.8957229,space,0.2848951999999372,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
10,0.005,4,4,0,up,6.571322400000099,None,None,,,0,4,4,4,,,,,,,,,1596.9115015999998,,,,,,,,,,,,,1596.8959292000002,1596.9115015999998,1596.9115015999998,1603.4891023000002,up,6.571322400000099,None,1603.4893976,1603.5048576000002,1603.5048576000002,1603.5048576000002,1603.8043384,1606.5016858000001,None,,,1604.520338,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,5,5,0,down,4.644792600000073,None,space,0.3763567000000876,None,0,5,5,5,,,,,,,,,1606.5183124000002,,,,,,,,,,,,,1606.5018711,1606.5183124000002,1606.5183124000002,1611.1646389,down,4.644792600000073,None,1611.1649357,1611.1800783,1611.1800783,1611.1800783,1611.4799454000001,1611.5641656,space,0.3763567000000876,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,6,6,0,up,6.391649400000006,None,space,0.3517154000001028,None,0,6,6,2,,,,,,,,,1611.5797409,,,,,,,,,,,,,1611.5643589,1611.5797409,1611.5797409,1617.9742589999998,up,6.391649400000006,None,1617.9745547,1617.9899550000002,1617.9899550000002,1617.9899550000002,1618.2896324,1618.3570545999999,space,0.3517154000001028,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,10,7,7,0,down,6.84630449999986,None,None,,,0,7,7,9,,,,,,,,,1618.3729445000001,,,,,,,,,,,,,1618.3572484,1618.3729445000001,1618.3729445000001,1625.2331537000002,down,6.84630449999986,None,1625.2334082999998,1625.2491547000002,1625.2491547000002,1625.2491547000002,1625.5488597,1628.2465453000002,None,,,1626.2482475,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,8,8,0,up,3.0364206999997805,None,space,0.30987770000001547,None,0,8,8,6,,,,,,,,,1628.2629052,,,,,,,,,,,,,1628.2467058,1628.2629052,1628.2629052,1631.3102453,up,3.0364206999997805,None,1631.3105087000001,1631.3261872,1631.3261872,1631.3261872,1631.6259466,1631.6433223000001,space,0.30987770000001547,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.31,0.005,9,9,0,down,6.648171100000127,None,space,0.310355100000379,None,0,9,9,3,,,,,,,,,1631.6591979000002,,,,,,,,,,,,,1631.6434881000002,1631.6591979000002,1631.6591979000002,1638.3198018,down,6.648171100000127,None,1638.3200549,1638.3359668,1638.3359668,1638.3359668,1638.6353316000002,1638.6529054999999,space,0.310355100000379,None,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.6530123999999,1638.6687989999998,,1641.6655878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,0,0,0,up,23.21514930000012,None,space,0.36407610000014756,None,,,,,0,0,0,0,,,,,1641.6839913000001,,,,,,,,,,,,,1641.6736718999998,1641.6839913000001,1641.6839913000001,1664.9093528,,,,1664.9096083000002,1664.9251757999998,1664.9251757999998,1664.9251757999998,1665.2249490000002,1665.2921273999998,,,,,up,23.21514930000012,None,space,0.36407610000014756,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,1,1,0,down,7.526711900000009,None,space,0.2997835999999552,None,,,,,0,1,1,1,,,,,1665.3081911000002,,,,,,,,,,,,,1665.2922949000001,1665.3081911000002,1665.3081911000002,1672.851305,,,,1672.8515641000001,1672.8671631999998,1672.8671631999998,1672.8671631999998,1673.1669193999999,1673.1678306000001,,,,,down,7.526711900000009,None,space,0.2997835999999552,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.31,0.005,2,2,0,up,5.011411399999815,None,space,0.375223399999868,None,,,,,0,2,2,2,,,,,1673.1835484,,,,,,,,,,,,,1673.1680036,1673.1835484,1673.1835484,1678.1960198,,,,1678.1962723,1678.2116191000002,1678.2116191000002,1678.2116191000002,1678.5113992,1678.5952445,,,,,up,5.011411399999815,None,space,0.375223399999868,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.31,0.005,3,3,0,down,7.887710900000002,None,space,0.29048939999984214,None,,,,,0,3,3,3,,,,,1678.6114770000001,,,,,,,,,,,,,1678.5954101999998,1678.6114770000001,1678.6114770000001,1686.5043033,,,,1686.5045578000002,1686.5197696000002,1686.5197696000002,1686.5197696000002,1686.8196199000001,1686.820434,,,,,down,7.887710900000002,None,space,0.29048939999984214,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,4,4,0,up,6.222776799999792,None,space,0.31757210000023406,None,,,,,0,4,4,4,,,,,1686.8360865000002,,,,,,,,,,,,,1686.8205971999998,1686.8360865000002,1686.8360865000002,1693.0640099,,,,1693.0642642999999,1693.0796862,1693.0796862,1693.0796862,1693.3793579,1693.4136368000002,,,,,up,6.222776799999792,None,space,0.31757210000023406,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,5,5,0,down,8.037795199999891,None,space,0.26712640000005194,None,,,,,0,5,5,5,,,,,1693.4293827,,,,,,,,,,,,,1693.4138036000002,1693.4293827,1693.4293827,1701.4720011000002,,,,1701.4722648,1701.4878231,1701.4878231,1701.4878231,1701.7877842,1701.7717353,,,,,down,8.037795199999891,None,space,0.26712640000005194,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,6,6,0,up,5.59980459999997,None,space,0.35783489999994345,None,,,,,0,6,6,6,,,,,1701.7877842,,,,,,,,,,,,,1701.7719003999998,1701.7877842,1701.7877842,1707.3993048,,,,1707.3995576,1707.4152603999999,1707.4152603999999,1707.4152603999999,1707.7147692,1707.7819477,,,,,up,5.59980459999997,None,space,0.35783489999994345,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
10,0.005,7,7,0,down,7.622036299999763,None,None,,,,,,,0,7,7,7,,,,,1707.7975712999998,,,,,,,,,,,,,1707.7821273000002,1707.7975712999998,1707.7975712999998,1715.4244677,,,,1715.4247278999999,1715.4402167,1715.4402167,1715.4402167,1715.7398423000002,1718.4373592,,,,1716.4392236,down,7.622036299999763,None,None,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,8,8,0,up,3.7574008999999933,None,space,0.3588710999997602,None,,,,,0,8,8,8,,,,,1718.4537005,,,,,,,,,,,,,1718.4375219,1718.4537005,1718.4537005,1722.2175724,,,,1722.2178256,1722.2332903,1722.2332903,1722.2332903,1722.5330313000002,1722.6004352000002,,,,,up,3.7574008999999933,None,space,0.3588710999997602,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,9,9,0,down,7.8995082000001275,None,space,0.2810942999999497,None,,,,,0,9,9,9,,,,,1722.6161576000002,,,,,,,,,,,,,1722.6006012999999,1722.6161576000002,1722.6161576000002,1730.5255218,,,,1730.525789,1730.5413973000002,1730.5413973000002,1730.5413973000002,1730.8410412,1730.8253393000002,,,,,down,7.8995082000001275,None,space,0.2810942999999497,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,10,10,0,up,4.921878799999831,None,space,0.278306899999734,None,,,,,0,10,10,10,,,,,1730.8410412,,,,,,,,,,,,,1730.8255110000002,1730.8410412,1730.8410412,1735.7700031000002,,,,1735.7702648000002,1735.7859985000002,1735.7859985000002,1735.7859985000002,1736.0858427,1736.0700939,,,,,up,4.921878799999831,None,space,0.278306899999734,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,11,11,0,down,8.301435700000184,None,space,0.2695331999998416,None,,,,,0,11,11,11,,,,,1736.0858427,,,,,,,,,,,,,1736.0702579000001,1736.0858427,1736.0858427,1744.3947233000001,,,,1744.3949796,1744.410596,1744.410596,1744.410596,1744.7104035,1744.6944449,,,,,down,8.301435700000184,None,space,0.2695331999998416,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
10,0.005,12,12,0,up,3.924869899999976,None,None,,,,,,,0,12,12,12,,,,,1744.7104035,,,,,,,,,,,,,1744.6946113000001,1744.7104035,1744.7104035,1748.6406506,,,,1748.6409041999998,1748.6562634999998,1748.6562634999998,1748.6562634999998,1748.9559286,1751.6532816000001,,,,1749.6719007,up,3.924869899999976,None,None,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.31,0.005,13,13,0,down,5.557811000000129,None,space,0.3347254000000248,None,,,,,0,13,13,13,,,,,1751.6698233999998,,,,,,,,,,,,,1751.6534462000002,1751.6698233999998,1751.6698233999998,1757.2317424,,,,1757.2319956,1757.2473966,1757.2473966,1757.2473966,1757.5471951000002,1757.5979528,,,,,down,5.557811000000129,None,space,0.3347254000000248,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
10,0.005,14,14,0,up,5.389980999999807,None,None,,,,,,,0,14,14,14,,,,,1757.6136115000002,,,,,,,,,,,,,1757.5981285,1757.6136115000002,1757.6136115000002,1763.0090606,,,,1763.009312,1763.0248619000001,1763.0248619000001,1763.0248619000001,1763.3244917,1766.0220534000002,,,,1764.0405300999998,up,5.389980999999807,None,None,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,15,15,0,down,4.22905929999979,None,space,0.3495802000002186,None,,,,,0,15,15,15,,,,,1766.0383789,,,,,,,,,,,,,1766.0222151,1766.0383789,1766.0383789,1770.2684201999998,,,,1770.2686695,1770.2840546999998,1770.2840546999998,1770.2840546999998,1770.5838463000002,1770.6351422999999,,,,,down,4.22905929999979,None,space,0.3495802000002186,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,16,16,0,up,5.032809999999699,None,space,0.28582700000015393,None,,,,,0,16,16,16,,,,,1770.6504467000002,,,,,,,,,,,,,1770.6353069,1770.6504467000002,1770.6504467000002,1775.6960305999999,,,,1775.6962832000002,1775.7118698000002,1775.7118698000002,1775.7118698000002,1776.0116285000001,1776.0124938000001,,,,,up,5.032809999999699,None,space,0.28582700000015393,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,17,17,0,down,7.56721460000017,None,space,0.3555317999998806,None,,,,,0,17,17,17,,,,,1776.0283989000002,,,,,,,,,,,,,1776.0126584000002,1776.0283989000002,1776.0283989000002,1783.6046634000002,,,,1783.6049214000002,1783.6204186000002,1783.6204186000002,1783.6204186000002,1783.9202269999998,1783.9874418000002,,,,,down,7.56721460000017,None,space,0.3555317999998806,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
-0.31,0.005,18,18,0,up,4.761106800000107,None,space,0.31713500000023487,None,,,,,0,18,18,18,,,,,1784.0033892,,,,,,,,,,,,,1783.9876069,1784.0033892,1784.0033892,1788.766061,,,,1788.7663153,1788.7818107,1788.7818107,1788.7818107,1789.0815986,1789.1157458,,,,,up,4.761106800000107,None,space,0.31713500000023487,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
10,0.005,19,19,0,down,8.607318100000157,None,None,,,,,,,0,19,19,19,,,,,1789.1318497999998,,,,,,,,,,,,,1789.1159123,1789.1318497999998,1789.1318497999998,1797.7402107,,,,1797.7404629999999,1797.7561063,1797.7561063,1797.7561063,1798.0557390000001,1800.7531768000001,,,,1798.7717202000001,down,8.607318100000157,None,None,,,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,0.31,20,20,0,up,1.5936004999998659,None,space,0.26106110000000626,None,,,,,0,20,20,20,,,,,1800.7696158,,,,,,,,,,,,,1800.7533432000002,1800.7696158,1800.7696158,1802.3687714999999,,,,1802.3690278000001,1802.3845869,1802.3845869,1802.3845869,,1802.6517112,,,,,up,1.5936004999998659,None,space,0.26106110000000626,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
0.005,-0.31,21,21,0,down,7.351330500000131,None,space,0.3253324999996039,None,,,,,0,21,21,21,,,,,1802.6676994000002,,,,,,,,,,,,,1802.6518847999998,1802.6676994000002,1802.6676994000002,1810.0275791000001,,,,1810.0278332999999,1810.0434335000002,1810.0434335000002,1810.0434335000002,1810.3431996000002,1810.3773902,,,,,down,7.351330500000131,None,space,0.3253324999996039,None,,,,,,,,,,,,P117,001,2024-11-20_08h48.48.187,posner_endo_new1,2024.2.4,60.0319730288377,2024-11-20 08h48.55.831346 +0000,
