"participant_ID","target_y","validity","trial","phase","response","rt"
"P102",10,"catch",0,"inhale","correct",NA
"P102",10,"catch",1,"inhale","correct",NA
"P102",0.31,"invalid",2,"inhale","correct",0.416334900000948
"P102",0.31,"invalid",3,"inhale","correct",0.351655300008133
"P102",-0.31,"valid",4,"inhale","correct",0.330014899998787
"P102",-0.31,"invalid",5,"inhale","correct",0.415338299993891
"P102",0.31,"valid",6,"inhale","correct",0.376371699996525
"P102",-0.31,"invalid",7,"inhale","correct",0.296207600011257
"P102",-0.31,"valid",8,"inhale","correct",0.35752119999961
"P102",-0.31,"invalid",9,"inhale","correct",0.358312399999704
"P102",0.31,"invalid",10,"inhale","correct",0.315537300004507
"P102",-0.31,"invalid",11,"inhale","correct",0.428578999999445
"P102",0.31,"valid",12,"inhale","correct",0.37116490000335
"P102",10,"catch",13,"inhale","correct",NA
"P102",-0.31,"invalid",14,"inhale","correct",0.433168199990178
"P102",-0.31,"valid",15,"inhale","correct",0.407949000000372
"P102",10,"catch",16,"inhale","correct",NA
"P102",10,"catch",17,"inhale","correct",NA
"P102",0.31,"invalid",18,"inhale","correct",0.425710600000457
"P102",10,"catch",19,"inhale","correct",NA
"P102",0.31,"invalid",20,"inhale","correct",0.401611299996148
"P102",-0.31,"valid",21,"inhale","correct",0.38588639999216
"P102",0.31,"valid",22,"inhale","correct",0.399289799999679
"P102",-0.31,"invalid",23,"inhale","correct",0.463133400000515
"P102",0.31,"valid",24,"inhale","correct",0.398960400008946
"P102",-0.31,"invalid",25,"inhale","correct",0.357145300004049
"P102",-0.31,"valid",26,"inhale","correct",0.432485900004394
"P102",0.31,"valid",27,"inhale","correct",0.378353399995831
"P102",10,"catch",28,"inhale","correct",NA
"P102",0.31,"valid",29,"inhale","correct",0.391688999996404
"P102",0.31,"valid",30,"inhale","correct",0.373525699993479
"P102",-0.31,"valid",31,"inhale","correct",0.351627299998654
"P102",0.31,"valid",32,"inhale","correct",0.431543399987277
"P102",-0.31,"invalid",33,"inhale","correct",0.417065700006788
"P102",10,"catch",34,"inhale","incorrect",0.318222899993998
"P102",0.31,"valid",35,"inhale","correct",0.459087099996395
"P102",-0.31,"invalid",36,"inhale","correct",0.449186900004861
"P102",0.31,"invalid",37,"inhale","correct",0.568759300003876
"P102",0.31,"invalid",38,"inhale","correct",0.485805600008462
"P102",0.31,"valid",39,"inhale","correct",0.389917299995432
"P102",0.31,"invalid",40,"inhale","correct",0.425708999988274
"P102",10,"catch",41,"inhale","correct",NA
"P102",-0.31,"valid",42,"inhale","correct",0.422935399998096
"P102",10,"catch",43,"inhale","correct",NA
"P102",0.31,"invalid",44,"inhale","correct",0.435184300004039
"P102",0.31,"invalid",45,"inhale","correct",0.435558099998161
"P102",0.31,"valid",46,"inhale","correct",0.427638200009824
"P102",-0.31,"valid",47,"inhale","correct",0.353663600006257
"P102",-0.31,"invalid",48,"inhale","correct",0.418224100008956
"P102",10,"catch",49,"inhale","correct",NA
"P102",-0.31,"valid",50,"inhale","correct",0.419773399989936
"P102",-0.31,"valid",51,"inhale","correct",0.368862400006037
"P102",-0.31,"invalid",52,"inhale","correct",0.426577700010967
"P102",-0.31,"valid",53,"inhale","correct",0.470032000011997
"P102",10,"catch",54,"inhale","correct",NA
"P102",0.31,"invalid",55,"inhale","correct",0.469808099995134
"P102",-0.31,"valid",56,"inhale","correct",0.418943500000751
"P102",0.31,"valid",57,"inhale","correct",0.44196149999334
"P102",-0.31,"invalid",58,"inhale","correct",0.407081999990623
"P102",0.31,"invalid",59,"inhale","correct",0.410333599997102
"P102",10,"catch",0,"exhale","correct",NA
"P102",10,"catch",1,"exhale","correct",NA
"P102",0.31,"invalid",2,"exhale","correct",0.605212399997981
"P102",0.31,"invalid",3,"exhale","correct",0.417495699992287
"P102",-0.31,"valid",4,"exhale","correct",0.397611100008362
"P102",-0.31,"invalid",5,"exhale","correct",0.402148699999088
"P102",0.31,"valid",6,"exhale","correct",0.375853200006532
"P102",-0.31,"invalid",7,"exhale","correct",0.531557800000883
"P102",-0.31,"valid",8,"exhale","correct",0.399055400004727
"P102",-0.31,"invalid",9,"exhale","correct",0.426394699999946
"P102",0.31,"invalid",10,"exhale","correct",0.448305400001118
"P102",-0.31,"invalid",11,"exhale","correct",0.386000200000126
"P102",0.31,"valid",12,"exhale","correct",0.386336900002789
"P102",10,"catch",13,"exhale","correct",NA
"P102",-0.31,"invalid",14,"exhale","correct",0.491427999993903
"P102",-0.31,"valid",15,"exhale","correct",0.369200999994064
"P102",10,"catch",16,"exhale","correct",NA
"P102",10,"catch",17,"exhale","correct",NA
"P102",0.31,"invalid",18,"exhale","correct",0.434447599996929
"P102",10,"catch",19,"exhale","correct",NA
"P102",0.31,"invalid",20,"exhale","correct",0.539325100005954
"P102",-0.31,"valid",21,"exhale","correct",0.386158499997691
"P102",0.31,"valid",22,"exhale","correct",0.4282724000077
"P102",-0.31,"invalid",23,"exhale","correct",0.611991900004796
"P102",0.31,"valid",24,"exhale","correct",0.378404799994314
"P102",-0.31,"invalid",25,"exhale","correct",0.48943230000441
"P102",-0.31,"valid",26,"exhale","correct",0.428482400006033
"P102",0.31,"valid",27,"exhale","correct",0.413742899996578
"P102",10,"catch",28,"exhale","correct",NA
"P102",0.31,"valid",29,"exhale","correct",0.458283999993
"P102",0.31,"valid",30,"exhale","correct",0.372117899998557
"P102",-0.31,"valid",31,"exhale","correct",0.931370299993432
"P102",0.31,"valid",32,"exhale","correct",0.558669200006989
"P102",-0.31,"invalid",33,"exhale","correct",0.414384899995639
"P102",10,"catch",34,"exhale","correct",NA
"P102",0.31,"valid",35,"exhale","correct",0.485885200003395
"P102",-0.31,"invalid",36,"exhale","correct",0.432187500002328
"P102",0.31,"invalid",37,"exhale","correct",0.425281599993468
"P102",0.31,"invalid",38,"exhale","correct",0.440547999998671
"P102",0.31,"valid",39,"exhale","correct",0.478320599999279
"P102",0.31,"invalid",40,"exhale","correct",0.434914700002992
"P102",10,"catch",41,"exhale","correct",NA
"P102",-0.31,"valid",42,"exhale","correct",0.404905399991549
"P102",10,"catch",43,"exhale","correct",NA
"P102",0.31,"invalid",44,"exhale","correct",0.42132799999672
